"ID","ESCALE_DEPART","ESCALE_DESTINATION","CODE","DATE_CREATED"
"2235169","CDG","ATH","CDGATH","current_timestamp"
"2235170","YAO","NIM","YAONIM","current_timestamp"
"2235171","OMA","ROB","OMAROB","current_timestamp"
"2235172","FIH","NDJ","FIHNDJ","current_timestamp"
"2235173","BEY","NSI","BEYNSI","current_timestamp"
"2235174","ATL","ERH","ATLERH","current_timestamp"
"2235175","VIE","IST","VIEIST","current_timestamp"
"2235176","BEY","AUH","BEYAUH","current_timestamp"
"2235177","LFW","OZZ","LFWOZZ","current_timestamp"
"2235178","DLA","PDX","DLAPDX","current_timestamp"
"2235179","HKG","DKR","HKGDKR","current_timestamp"
"2235180","NDJ","ATL","NDJATL","current_timestamp"
"2235181","DYU","RAK","DYURAK","current_timestamp"
"2235182","CKG","CKY","CKGCKY","current_timestamp"
"2235183","TTU","MRS","TTUMRS","current_timestamp"
"2235184","WAS","LYS","WASLYS","current_timestamp"
"2235185","AGP","JNB","AGPJNB","current_timestamp"
"2235186","IST","OXB","ISTOXB","current_timestamp"
"2235187","ORY","LAD","ORYLAD","current_timestamp"
"2235189","CKY","NAG","CKYNAG","current_timestamp"
"2235190","BOD","ORY","BODORY","current_timestamp"
"2235191","CGK","BJL","CGKBJL","current_timestamp"
"2235192","LHR","CDG","LHRCDG","current_timestamp"
"2235193","AMS","BCN","AMSBCN","current_timestamp"
"2235194","MNL","EUN","MNLEUN","current_timestamp"
"2235195","DME","BGF","DMEBGF","current_timestamp"
"2235197","OUD","MPL","OUDMPL","current_timestamp"
"2235198","CEB","OZZ","CEBOZZ","current_timestamp"
"2235199","CKY","PHX","CKYPHX","current_timestamp"
"2235200","OIT","AGA","OITAGA","current_timestamp"
"2235201","CAS","OVD","CASOVD","current_timestamp"
"2235202","MUC","LBV","MUCLBV","current_timestamp"
"2235203","BKI","RAK","BKIRAK","current_timestamp"
"2235204","SYR","RAK","SYRRAK","current_timestamp"
"2235205","SZF","VIL","SZFVIL","current_timestamp"
"2235206","SLC","MXP","SLCMXP","current_timestamp"
"2235207","DSS","ACC","DSSACC","current_timestamp"
"2235208","RAK","NUE","RAKNUE","current_timestamp"
"2235209","TRS","TNG","TRSTNG","current_timestamp"
"2235210","NSI","MCO","NSIMCO","current_timestamp"
"2235211","OUA","TFS","OUATFS","current_timestamp"
"2235212","YEA","NDJ","YEANDJ","current_timestamp"
"2235213","GRU","TFN","GRUTFN","current_timestamp"
"2235214","LYS","IAD","LYSIAD","current_timestamp"
"2235215","AMS","TUN","AMSTUN","current_timestamp"
"2235216","JKT","CMN","JKTCMN","current_timestamp"
"2235217","AGA","HND","AGAHND","current_timestamp"
"2235218","IAD","COO","IADCOO","current_timestamp"
"2235219","DSS","FSC","DSSFSC","current_timestamp"
"2235220","NQY","BKO","NQYBKO","current_timestamp"
"2235221","AQJ","DAC","AQJDAC","current_timestamp"
"2235222","MSQ","CMN","MSQCMN","current_timestamp"
"2235223","GZT","LFW","GZTLFW","current_timestamp"
"2235224","TTU","OZZ","TTUOZZ","current_timestamp"
"2235225","GDN","NDR","GDNNDR","current_timestamp"
"2235226","CAS","LVI","CASLVI","current_timestamp"
"2235227","AGA","SDF","AGASDF","current_timestamp"
"2235228","DFW","DFW","DFWDFW","current_timestamp"
"2235229","BGF","CAS","BGFCAS","current_timestamp"
"2235230","GIG","CAS","GIGCAS","current_timestamp"
"2235231","TUN","CGH","TUNCGH","current_timestamp"
"2235232","BUE","LON","BUELON","current_timestamp"
"2235233","PLZ","NKC","PLZNKC","current_timestamp"
"2235234","AGA","IKA","AGAIKA","current_timestamp"
"2235235","LYS","TRN","LYSTRN","current_timestamp"
"2235236","AKL","CMN","AKLCMN","current_timestamp"
"2235237","CEB","LIS","CEBLIS","current_timestamp"
"2235238","NDR","OUD","NDROUD","current_timestamp"
"2235239","COO","DOH","COODOH","current_timestamp"
"2235240","SEA","AGA","SEAAGA","current_timestamp"
"2235241","TLV","ABJ","TLVABJ","current_timestamp"
"2235242","FRA","AHU","FRAAHU","current_timestamp"
"2235243","TNG","ESB","TNGESB","current_timestamp"
"2235244","RAK","YYZ","RAKYYZ","current_timestamp"
"2235245","MAA","NKC","MAANKC","current_timestamp"
"2235246","PER","MAD","PERMAD","current_timestamp"
"2235247","FIH","RDU","FIHRDU","current_timestamp"
"2235248","SAO","AGA","SAOAGA","current_timestamp"
"2235249","AGA","LED","AGALED","current_timestamp"
"2235250","AUH","AMM","AUHAMM","current_timestamp"
"2235251","CHI","EUN","CHIEUN","current_timestamp"
"2235252","LOS","BWI","LOSBWI","current_timestamp"
"2235253","YVR","FEZ","YVRFEZ","current_timestamp"
"2235254","CMN","PRC","CMNPRC","current_timestamp"
"2235255","MLW","LAS","MLWLAS","current_timestamp"
"2235256","SIN","ATL","SINATL","current_timestamp"
"2235257","LED","ABJ","LEDABJ","current_timestamp"
"2235258","OMA","FNA","OMAFNA","current_timestamp"
"2235259","RBA","YTO","RBAYTO","current_timestamp"
"2235260","MAD","DUB","MADDUB","current_timestamp"
"2235261","LBV","TNG","LBVTNG","current_timestamp"
"2235262","COO","DEL","COODEL","current_timestamp"
"2235264","BHX","YAO","BHXYAO","current_timestamp"
"2235265","WAS","CAI","WASCAI","current_timestamp"
"2235266","CKY","BGW","CKYBGW","current_timestamp"
"2235267","LPA","SSG","LPASSG","current_timestamp"
"2235268","DEL","ROB","DELROB","current_timestamp"
"2235269","CKY","SMF","CKYSMF","current_timestamp"
"2235270","SAO","VIE","SAOVIE","current_timestamp"
"2235271","CMB","LHR","CMBLHR","current_timestamp"
"2235272","AGA","HAH","AGAHAH","current_timestamp"
"2235273","CKY","GIG","CKYGIG","current_timestamp"
"2235274","LIS","GIG","LISGIG","current_timestamp"
"2235275","ZRH","LBV","ZRHLBV","current_timestamp"
"2235276","MOW","SSH","MOWSSH","current_timestamp"
"2235277","RAK","KRK","RAKKRK","current_timestamp"
"2235278","PAR","SYD","PARSYD","current_timestamp"
"2235279","RTM","OUA","RTMOUA","current_timestamp"
"2235280","KTN","RAK","KTNRAK","current_timestamp"
"2235281","SGN","MLW","SGNMLW","current_timestamp"
"2235282","LFW","PNH","LFWPNH","current_timestamp"
"2235283","SUB","NKC","SUBNKC","current_timestamp"
"2235284","PVG","GIB","PVGGIB","current_timestamp"
"2235285","DCA","OUD","DCAOUD","current_timestamp"
"2235286","RUH","OUD","RUHOUD","current_timestamp"
"2235287","CAG","CMN","CAGCMN","current_timestamp"
"2235288","TLS","EUN","TLSEUN","current_timestamp"
"2235289","MAD","DME","MADDME","current_timestamp"
"2235290","DLA","BLQ","DLABLQ","current_timestamp"
"2235291","ROM","MLW","ROMMLW","current_timestamp"
