"id","code","nom","telephone","parent_id","ville_id","email","fax","code_postal","origine_emission_id","categorie","adresse","date_created"
"1","Representation AGADIR","Representation AGADIR","","","","","","","","REPRESENTATION","","current_timestamp"
"2","Representation Arabie Saoudite ","Representation Arabie Saoudite ","","","","","","","","REPRESENTATION","","current_timestamp"
"3","Representation CASABLANCA","Representation CASABLANCA","","","","","","","","REPRESENTATION","","current_timestamp"
"4","Representation Egypte","Representation Egypte","","","","","","","","REPRESENTATION","","current_timestamp"
"5","Representation FES","Representation FES","","","","","","","","REPRESENTATION","","current_timestamp"
"6","Representation LAAYOUNE","Representation LAAYOUNE","","","","","","","","REPRESENTATION","","current_timestamp"
"7","Representation Marrakech","Representation Marrakech","","","","","","","","REPRESENTATION","","current_timestamp"
"8","Representation Oujda","Representation Oujda","","","","","","","","REPRESENTATION","","current_timestamp"
"9","Representation RABAT","Representation RABAT","","","","","","","","REPRESENTATION","","current_timestamp"
"10","Representation TANGER","Representation TANGER","","","","","","","","REPRESENTATION","","current_timestamp"
"11","Representation Tunisie","Representation Tunisie","","","","","","","","REPRESENTATION","","current_timestamp"
"12","Portefeuille AGADIR 1","Portefeuille AGADIR NZAHRI","","1","","","","","","PORTEFEUILLE","","current_timestamp"
"13","Portefeuille Casa 1","Portefeuille Casa hassouihly","","3","","","","","","PORTEFEUILLE","","current_timestamp"
"14","Portefeuille Casa 2","Portefeuille Casa SIHELAMINE","","3","","","","","","PORTEFEUILLE","","current_timestamp"
"15","Portefeuille Casa 3","Portefeuille Casa Bzaghari","","3","","","","","","PORTEFEUILLE","","current_timestamp"
"16","Portefeuille Casa 4","Portefeuille Casa IAITOUAMMI","","3","","","","","","PORTEFEUILLE","","current_timestamp"
"17","Portefeuille Casa 5","Portefeuille Casa MBADR","","3","","","","","","PORTEFEUILLE","","current_timestamp"
"18","Portefeuille Casa 6","Portefeuille Casa YBOUHAIK","","3","","","","","","PORTEFEUILLE","","current_timestamp"
