"ID","ESCALE_DEPART","ESCALE_DESTINATION","CODE","DATE_CREATED"
"207721","OUD","CDG","OUDCDG","current_timestamp"
"207722","TLS","CMN","TLSCMN","current_timestamp"
"207723","OUD","JED","OUDJED","current_timestamp"
"207724","TLS","RAK","TLSRAK","current_timestamp"
"207725","OUD","MED","OUDMED","current_timestamp"
"207726","OUD","MRS","OUDMRS","current_timestamp"
"207727","OUD","MXP","OUDMXP","current_timestamp"
"207728","OUD","ORY","OUDORY","current_timestamp"
"207729","OUD","TLS","OUDTLS","current_timestamp"
"207730","OUD","LIL","OUDLIL","current_timestamp"
"207731","OUD","ALG","OUDALG","current_timestamp"
"207732","OZG","AGA","OZGAGA","current_timestamp"
"207733","MAD","OZZ","MADOZZ","current_timestamp"
"207734","ORY","OZZ","ORYOZZ","current_timestamp"
"207735","OZG","OZZ","OZGOZZ","current_timestamp"
"207736","TOM","CMN","TOMCMN","current_timestamp"
"207737","TRN","CMN","TRNCMN","current_timestamp"
"207738","TRN","RAK","TRNRAK","current_timestamp"
"207739","OZZ","ALC","OZZALC","current_timestamp"
"207740","OZZ","CDG","OZZCDG","current_timestamp"
"207741","TUN","CMN","TUNCMN","current_timestamp"
"207742","OZZ","JED","OZZJED","current_timestamp"
"207743","OZZ","MAD","OZZMAD","current_timestamp"
"207744","VCE","CMN","VCECMN","current_timestamp"
"207745","OZZ","MED","OZZMED","current_timestamp"
"207746","VLC","CMN","VLCCMN","current_timestamp"
"207747","VLC","RAK","VLCRAK","current_timestamp"
"207748","RBA","ACC","RBAACC","current_timestamp"
"207749","RBA","ALG","RBAALG","current_timestamp"
"207750","RBA","AUH","RBAAUH","current_timestamp"
"207751","YMX","CMN","YMXCMN","current_timestamp"
"207752","YQX","CMN","YQXCMN","current_timestamp"
"207753","YUL","CMN","YULCMN","current_timestamp"
"207754","ZRH","CMN","ZRHCMN","current_timestamp"
"207755","RBA","BAH","RBABAH","current_timestamp"
"207756","ZRH","RAK","ZRHRAK","current_timestamp"
"207757","ESU","CMN","ESUCMN","current_timestamp"
"207758","CMN","ESU","CMNESU","current_timestamp"
"207759","RBA","BZV","RBABZV","current_timestamp"
"207760","RBA","CAI","RBACAI","current_timestamp"
"207761","RBA","DKR","RBADKR","current_timestamp"
"207762","RBA","FIH","RBAFIH","current_timestamp"
"207763","RBA","JED","RBAJED","current_timestamp"
"207764","RBA","KWI","RBAKWI","current_timestamp"
"207765","RBA","LIS","RBALIS","current_timestamp"
"207766","RBA","MED","RBAMED","current_timestamp"
"207767","RBA","MRS","RBAMRS","current_timestamp"
"207768","RBA","NIM","RBANIM","current_timestamp"
"207769","RBA","ORY","RBAORY","current_timestamp"
"207770","RBA","OUA","RBAOUA","current_timestamp"
"207771","RBA","SRX","RBASRX","current_timestamp"
"207772","RBA","CDG","RBACDG","current_timestamp"
"207773","RBA","VLC","RBAVLC","current_timestamp"
"207774","CMN","BJL","CMNBJL","current_timestamp"
"207775","BJL","CMN","BJLCMN","current_timestamp"
"207776","RBA","MAD","RBAMAD","current_timestamp"
"207777","RBA","LGW","RBALGW","current_timestamp"
"207778","CMN","GLN","CMNGLN","current_timestamp"
"207779","GLN","CMN","GLNCMN","current_timestamp"
"207780","ROM","AGA","ROMAGA","current_timestamp"
"207781","VRN","CMN","VRNCMN","current_timestamp"
"207782","CMN","VRN","CMNVRN","current_timestamp"
"207783","CMN","PNR","CMNPNR","current_timestamp"
"207784","PNR","CMN","PNRCMN","current_timestamp"
"207785","CMN","BGF","CMNBGF","current_timestamp"
"207786","BGF","CMN","BGFCMN","current_timestamp"
"207787","RAK","MUC","RAKMUC","current_timestamp"
"207788","MUC","RAK","MUCRAK","current_timestamp"
"207789","CMN","WAW","CMNWAW","current_timestamp"
"207790","WAW","CMN","WAWCMN","current_timestamp"
"207791","TLS","AGA","TLSAGA","current_timestamp"
"207792","TLS","FEZ","TLSFEZ","current_timestamp"
"207793","TNG","AMS","TNGAMS","current_timestamp"
"207794","TXL","CMN","TXLCMN","current_timestamp"
"207795","CMN","TXL","CMNTXL","current_timestamp"
"207796","CMN","OPO","CMNOPO","current_timestamp"
"207797","OPO","CMN","OPOCMN","current_timestamp"
"207799","LOS","CMN","LOSCMN","current_timestamp"
"207800","TNG","BCN","TNGBCN","current_timestamp"
"207801","TNG","BRU","TNGBRU","current_timestamp"
"207802","TNG","CDG","TNGCDG","current_timestamp"
"207803","TNG","JED","TNGJED","current_timestamp"
"207804","TNG","LGW","TNGLGW","current_timestamp"
"207805","TNG","LHR","TNGLHR","current_timestamp"
"207806","LIS","RAK","LISRAK","current_timestamp"
"207807","RAK","LIS","RAKLIS","current_timestamp"
"207808","TNG","LIS","TNGLIS","current_timestamp"
"207809","TNG","LON","TNGLON","current_timestamp"
"207810","TNG","MAD","TNGMAD","current_timestamp"
"207811","TNG","MED","TNGMED","current_timestamp"
"207812","TNG","MXP","TNGMXP","current_timestamp"
"207813","TNG","ORY","TNGORY","current_timestamp"
"207814","TNG","VLC","TNGVLC","current_timestamp"
"207815","CMN","OXB","CMNOXB","current_timestamp"
"207816","OXD","CMN","OXDCMN","current_timestamp"
"207817","LAD","CMN","LADCMN","current_timestamp"
"207818","CMN","LAD","CMNLAD","current_timestamp"
"207819","CMN","CPH","CMNCPH","current_timestamp"
"207820","CPH","CMN","CPHCMN","current_timestamp"
"207821","CMN","GRU","CMNGRU","current_timestamp"
"207822","GRU","CMN","GRUCMN","current_timestamp"
"207823","TNG","GIB","TNGGIB","current_timestamp"
"207824","CMN","TFN","CMNTFN","current_timestamp"
"207825","TFN","CMN","TFNCMN","current_timestamp"
"207826","OZZ","ORY","OZZORY","current_timestamp"
"207827","ARN","CMN","ARNCMN","current_timestamp"
"207828","CMN","ARN","CMNARN","current_timestamp"
"207829","CMN","RAI","CMNRAI","current_timestamp"
"207830","RAI","CMN","RAICMN","current_timestamp"
"207831","OXB","CMN","OXBCMN","current_timestamp"
"207833","TUN","FEZ","TUNFEZ","current_timestamp"
"207834","OZZ","OZG","OZZOZG","current_timestamp"
"207835","ZRH","OZZ","ZRHOZZ","current_timestamp"
"207836","CMN","HBE","CMNHBE","current_timestamp"
"207837","HBE","CMN","HBECMN","current_timestamp"
"207838","GLN","TTA","GLNTTA","current_timestamp"
"207839","CMN","NDJ","CMNNDJ","current_timestamp"
